seq_name,seq_length,n_count,clean_length
A01_hvs_727_8F_5095511_015.ab1,694,0,694
A01_hvs_75_8F_5347638_015.ab1,696,0,696
A01_hvs_KL1_8F_4338589_015.ab1,689,0,689
A02_hvs_246_8F_5347638_016.ab1,693,0,693
A02_hvs_380_8F_5095511_016.ab1,673,0,673
A02_hvs_792_8F_5095511_016.ab1,673,0,673
A02_hvs_KW1_8F_4338589_016.ab1,643,0,643
A03_hvs_344_8F_5347638_031.ab1,697,0,697
A03_hvs_405_8F_5095511_031.ab1,675,0,675
A03_hvs_820_8F_5095511_031.ab1,693,0,693
A03_hvs_AL3_8F_4338589_031.ab1,700,0,700
A04_hvs_408_8F_5347638_032.ab1,657,0,657
A04_hvs_428_8F_5095511_032.ab1,695,0,695
A04_hvs_66_8F_4338589_032.ab1,800,42,758
A04_hvs_843_8F_5095511_032.ab1,678,0,678
A05_hvs_472_8F_5095511_047.ab1,256,0,256
A05_hvs_875_8F_5095511_047.ab1,684,0,684
A05_hvs_89_8F_4338589_047.ab1,699,0,699
A06_hvs_107_8F_4338589_048.ab1,529,0,529
A06_hvs_486_8F_5095511_048.ab1,685,0,685
A06_hvs_613_8F_5347638_048.ab1,800,74,726
A06_hvs_900_8F_5095511_048.ab1,661,0,661
A07_hvs_189_8F_4338589_063.ab1,1,0,1
A07_hvs_510_8F_5095511_063.ab1,672,0,672
A07_hvs_700_8F_5347638_063.ab1,627,0,627
A07_hvs_959_8F_5095511_063.ab1,696,0,696
A08_hvs_215_8F_4338589_064.ab1,698,0,698
A08_hvs_550_8F_5095511_064.ab1,696,0,696
A08_hvs_874_8F_5347638_064.ab1,675,0,675
A09_hvs_248_8F_4338589_079.ab1,701,0,701
A09_hvs_582_8F_5095511_079.ab1,661,0,661
A09_hvs_982_8F_5347638_079.ab1,800,87,713
A10_hvs_289_8F_4338589_080.ab1,700,0,700
A10_hvs_611_8F_5095511_080.ab1,676,0,676
A11_hvs_316_8F_4338589_095.ab1,683,0,683
A11_hvs_636_8F_5095511_095.ab1,696,1,695
A12_hvs_351_8F_4338589_096.ab1,705,0,705
A12_hvs_680_8F_5095511_096.ab1,687,0,687
B01_hvs_735_8F_5095511_013.ab1,693,0,693
B01_hvs_83_8F_5347638_013.ab1,659,0,659
B01_hvs_KL2_8F_4338589_013.ab1,727,0,727
B02_hvs_265_8F_5347638_014.ab1,800,84,716
